iter	Passed	Remaining
803	344880	33029
804	345275	32597
805	345593	32158
806	345910	31719
807	346249	31282
808	347060	30887
809	347557	30464
810	348474	30077
811	349326	29684
812	349710	29250
813	350102	28816
814	351107	28433
815	351471	27997
816	351794	27557
817	352077	27115
818	352403	26677
819	352721	26239
820	352992	25797
821	353582	25378
822	354108	24955
823	354625	24531
824	355310	24118
825	356026	23706
826	356526	23279
827	356833	22840
828	357103	22399
829	357498	21966
830	357796	21528
831	358587	21118
832	359348	20706
833	360275	20303
834	360985	19886
835	361733	19471
836	362086	19034
837	362635	18607
838	363091	18176
839	363795	17756
840	364203	17322
841	364514	16883
842	365167	16460
843	365515	16023
844	365936	15590
845	366274	15153
846	366588	14715
847	366893	14277
848	367221	13841
849	367552	13404
850	367858	12967
851	368146	12530
852	368447	12094
853	368734	11657
854	369046	11222
855	369432	10789
856	369848	10357
857	370209	9924
858	370541	9489
859	371342	9067
860	372286	8647
861	372702	8215
862	373085	7781
863	373421	7347
864	373711	6912
865	374021	6478
866	374320	6044
867	374950	5615
868	375368	5183
869	375708	4750
870	376221	4319
871	376725	3888
872	377204	3456
873	377686	3024
874	378295	2594
875	378821	2162
876	379318	1730
877	379718	1297
878	380130	864
879	380476	432
880	380872	0
